total_mass_source chirp_mass_source mass_ratio chi_eff
2.7369 1.1899 0.9144 0.0043
2.7256 1.1858 0.9429 -0.0018
2.7295 1.1881 0.9933 0.0032
2.7397 1.1901 1.1243 -0.0013
2.7635 1.1902 0.7666 0.0000
2.7487 1.1924 0.8611 0.0019
2.7402 1.1916 0.9246 0.0122
2.7396 1.1921 0.9560 -0.0014
2.7450 1.1918 0.8780 0.0089
2.7291 1.1879 1.0057 -0.0015
2.7441 1.1896 0.8487 0.0001
2.7476 1.1858 1.2692 0.0108
2.7368 1.1905 0.9357 0.0075
2.7247 1.1854 0.9426 0.0130
2.7251 1.1856 0.9454 0.0116
2.7252 1.1860 0.9661 0.0064
2.7272 1.1871 0.9950 0.0044
2.7614 1.1915 0.7852 0.0131
2.7391 1.1914 1.0711 0.0033
2.7374 1.1904 0.9227 0.0027
2.7382 1.1914 0.9508 -0.0000
2.7256 1.1855 1.0717 0.0002
2.7298 1.1878 0.9508 -0.0017
2.7437 1.1938 1.0494 -0.0018
2.7340 1.1885 0.9108 0.0019
2.7406 1.1920 1.0754 0.0075
2.7484 1.1882 0.8078 0.0019
2.7445 1.1879 0.8236 0.0040
2.7448 1.1875 0.8176 0.0023
2.7281 1.1875 1.0055 -0.0057
2.7458 1.1872 0.8098 -0.0015
2.7341 1.1867 0.8710 0.0019
2.7492 1.1911 1.1922 -0.0022
2.7588 1.1857 0.7474 0.0138
2.7343 1.1870 1.1422 0.0014
2.7250 1.1859 0.9607 0.0044
2.7371 1.1863 1.1848 -0.0045
2.7255 1.1853 0.9247 0.0072
2.7274 1.1844 1.1337 -0.0041
2.7298 1.1866 0.9082 -0.0072
2.7460 1.1859 0.7957 0.0167
2.7388 1.1905 0.9078 0.0059
2.7456 1.1917 1.1476 0.0001
2.7422 1.1934 0.9677 0.0112
2.7230 1.1845 0.9376 -0.0006
2.7434 1.1887 1.1913 0.0039
2.7479 1.1877 0.8050 0.0145
2.7388 1.1918 0.9621 0.0035
2.7564 1.1869 0.7644 0.0021
2.7690 1.1880 1.3646 0.0063
2.7294 1.1865 1.0976 0.0013
2.7389 1.1893 1.1347 -0.0005
2.7278 1.1867 0.9410 0.0014
2.7312 1.1883 0.9474 -0.0010
2.7318 1.1883 0.9372 -0.0024
2.7354 1.1887 1.1090 0.0084
2.7386 1.1919 0.9751 -0.0030
2.7549 1.1903 0.8008 0.0087
2.7382 1.1886 0.8737 0.0100
2.7317 1.1886 0.9528 0.0102
2.7324 1.1890 1.0466 0.0010
2.7394 1.1868 0.8383 -0.0030
2.7300 1.1883 0.9843 0.0140
2.7302 1.1880 0.9529 0.0036
2.7428 1.1870 0.8215 0.0081
2.7557 1.1882 0.7782 0.0140
2.7346 1.1894 1.0733 -0.0008
2.7434 1.1866 0.8138 0.0069
2.7442 1.1882 0.8292 -0.0006
2.7351 1.1902 1.0476 0.0006
2.7454 1.1872 1.2320 0.0021
2.7400 1.1913 0.9181 0.0020
2.7365 1.1909 0.9659 0.0035
2.7434 1.1912 1.1361 0.0114
2.7433 1.1862 0.8104 0.0026
2.7353 1.1901 0.9511 -0.0017
2.7472 1.1899 1.1986 0.0064
2.7317 1.1884 1.0630 0.0004
2.7512 1.1885 1.2515 0.0067
2.7639 1.1922 1.2796 0.0044
2.7623 1.1865 1.3475 0.0059
2.7418 1.1899 0.8687 0.0007
2.7265 1.1863 1.0548 0.0013
2.7480 1.1916 1.1716 0.0096
2.7515 1.1886 0.7979 0.0168
2.7375 1.1910 1.0566 0.0052
2.7299 1.1870 0.9213 0.0015
2.7261 1.1865 0.9708 0.0039
2.7407 1.1889 0.8604 0.0027
2.7558 1.1883 0.7778 0.0038
2.7458 1.1892 0.8323 0.0081
2.7646 1.1877 1.3448 0.0069
2.7674 1.1883 1.3519 0.0200
2.7360 1.1864 0.8531 0.0012
2.7528 1.1886 1.2612 0.0072
2.7341 1.1900 0.9793 0.0025
2.7260 1.1862 0.9571 0.0047
2.7377 1.1917 0.9983 0.0011
2.7406 1.1901 1.1325 0.0060
2.7335 1.1898 1.0002 -0.0062
2.7298 1.1866 1.0979 0.0056
2.7299 1.1870 0.9186 -0.0025
2.7500 1.1888 1.2395 0.0096
2.7487 1.1921 0.8560 0.0083
2.7346 1.1893 0.9296 0.0027
2.7358 1.1901 1.0651 0.0082
2.7365 1.1907 0.9523 0.0048
2.7384 1.1856 1.2076 0.0032
2.7645 1.1857 0.7300 0.0052
2.7397 1.1922 1.0429 0.0053
2.7430 1.1874 0.8254 0.0142
2.7294 1.1877 1.0452 0.0025
2.7350 1.1904 1.0167 -0.0012
2.7483 1.1866 0.7919 0.0001
2.7398 1.1926 1.0052 0.0075
2.7322 1.1863 1.1379 0.0010
2.7440 1.1927 0.9069 0.0029
2.7639 1.1866 0.7382 0.0092
2.7268 1.1856 0.9186 -0.0062
2.7468 1.1893 1.2071 0.0022
2.7244 1.1850 1.0717 0.0088
2.7319 1.1850 0.8581 0.0010
2.7358 1.1905 0.9558 0.0106
2.7400 1.1897 1.1378 0.0013
2.7329 1.1878 1.1049 0.0009
2.7327 1.1856 0.8629 -0.0023
2.7500 1.1921 1.1811 0.0057
2.7244 1.1853 1.0580 0.0027
2.7418 1.1875 0.8333 0.0010
2.7244 1.1857 0.9725 -0.0001
2.7604 1.1886 1.3081 0.0115
2.7398 1.1905 0.8965 0.0060
2.7262 1.1865 1.0255 -0.0039
2.7402 1.1925 1.0391 -0.0054
2.7433 1.1874 0.8246 0.0179
2.7332 1.1893 1.0447 0.0002
2.7323 1.1864 1.1366 0.0046
2.7498 1.1875 0.7947 0.0008
2.7413 1.1927 0.9455 0.0001
2.7361 1.1907 1.0412 0.0037
2.7312 1.1850 0.8635 0.0058
2.7268 1.1869 0.9855 -0.0042
2.7338 1.1896 1.0420 0.0065
2.7455 1.1917 1.1471 0.0093
2.7486 1.1917 1.1767 -0.0003
2.7333 1.1879 1.1081 0.0055
2.7303 1.1856 1.1343 -0.0031
2.7402 1.1898 0.8793 0.0146
2.7610 1.1851 1.3578 0.0198
2.7396 1.1907 1.1036 0.0034
2.7260 1.1866 1.0011 0.0044
2.7373 1.1881 1.1477 0.0035
2.7268 1.1862 1.0654 -0.0061
2.7329 1.1885 0.9259 0.0060
2.7355 1.1854 1.1879 0.0037
2.7462 1.1884 1.2176 -0.0014
2.7340 1.1850 1.1823 0.0046
2.7304 1.1884 1.0131 0.0158
2.7416 1.1914 1.1109 0.0020
2.7286 1.1874 1.0434 0.0021
2.7331 1.1886 0.9252 0.0005
2.7361 1.1900 1.0760 -0.0008
2.7469 1.1886 0.8203 0.0144
2.7494 1.1888 0.8102 0.0115
2.7386 1.1917 1.0473 0.0095
2.7542 1.1880 0.7815 0.0079
2.7519 1.1934 1.1699 -0.0019
2.7365 1.1865 1.1758 0.0091
2.7499 1.1871 0.7902 0.0020
2.7425 1.1887 0.8449 -0.0002
2.7596 1.1894 1.2927 0.0027
2.7457 1.1872 1.2344 0.0035
2.7234 1.1854 0.9813 -0.0049
2.7414 1.1893 0.8619 0.0039
2.7258 1.1863 1.0371 0.0090
2.7284 1.1872 0.9533 0.0021
2.7484 1.1908 0.8394 0.0022
2.7403 1.1884 0.8550 0.0050
2.7402 1.1928 1.0038 0.0015
2.7311 1.1888 1.0075 -0.0009
2.7317 1.1890 0.9899 0.0059
2.7322 1.1890 0.9625 0.0037
2.7340 1.1887 1.0920 0.0105
2.7271 1.1852 0.9043 0.0125
2.7286 1.1864 0.9190 -0.0018
2.7340 1.1900 1.0101 0.0022
2.7333 1.1881 1.1026 0.0024
2.7381 1.1913 1.0566 0.0027
2.7401 1.1887 1.1615 0.0169
2.7271 1.1867 1.0413 0.0070
2.7323 1.1887 1.0598 0.0003
2.7262 1.1861 1.0568 0.0026
2.7427 1.1920 1.1080 -0.0058
2.7293 1.1879 0.9785 0.0014
2.7254 1.1857 0.9412 0.0037
2.7361 1.1892 0.9049 0.0007
2.7362 1.1903 1.0662 -0.0069
2.7490 1.1892 1.2250 0.0022
2.7311 1.1886 0.9669 0.0012
2.7263 1.1860 0.9401 0.0078
2.7459 1.1889 1.2071 0.0007
2.7459 1.1862 1.2527 0.0037
2.7548 1.1867 1.3024 0.0093
2.7492 1.1931 0.8677 0.0083
2.7532 1.1879 0.7844 0.0103
2.7312 1.1870 0.9029 0.0025
2.7400 1.1898 0.8822 0.0145
2.7307 1.1862 1.1228 0.0015
2.7311 1.1887 1.0236 0.0047
2.7347 1.1887 1.1019 0.0021
2.7286 1.1864 1.0903 0.0109
2.7350 1.1905 1.0072 0.0091
2.7334 1.1861 0.8667 -0.0027
2.7271 1.1870 1.0239 0.0032
2.7270 1.1859 1.0809 -0.0015
2.7784 1.1925 1.3593 0.0158
2.7324 1.1872 1.1167 0.0094
2.7624 1.1866 0.7426 0.0103
2.7390 1.1868 1.1900 0.0043
2.7251 1.1858 1.0500 0.0098
2.7305 1.1863 1.1167 0.0089
2.7267 1.1867 0.9700 0.0021
2.7399 1.1881 1.1730 0.0001
2.7489 1.1928 1.1557 0.0096
2.7322 1.1883 1.0769 0.0066
2.7314 1.1866 1.1219 0.0037
2.7397 1.1925 1.0157 0.0047
2.7417 1.1934 1.0052 -0.0065
2.7419 1.1928 0.9426 0.0005
2.7383 1.1889 1.1373 -0.0026
2.7356 1.1876 0.8754 -0.0012
2.7292 1.1878 1.0254 -0.0000
2.7372 1.1895 0.9025 0.0061
2.7356 1.1908 0.9972 0.0040
2.7262 1.1855 1.0834 0.0076
2.7339 1.1882 1.1048 0.0039
2.7472 1.1910 1.1776 0.0122
2.7353 1.1889 0.9080 0.0082
2.7621 1.1874 1.3344 0.0178
2.7281 1.1866 0.9324 0.0020
2.7343 1.1884 0.9045 0.0057
2.7276 1.1868 0.9506 0.0081
2.7341 1.1898 1.0422 0.0094
2.7297 1.1875 0.9399 -0.0040
2.7390 1.1889 0.8735 0.0011
2.7276 1.1848 0.8890 0.0033
2.7295 1.1878 0.9617 -0.0003
2.7369 1.1895 1.1061 -0.0011
2.7259 1.1864 0.9761 0.0068
2.7400 1.1919 1.0659 0.0076
2.7388 1.1919 0.9667 -0.0011
2.7501 1.1925 1.1727 0.0035
2.7238 1.1856 1.0110 0.0143
2.7278 1.1871 1.0404 0.0042
2.7425 1.1895 1.1663 0.0018
2.7462 1.1908 1.1729 0.0121
2.7337 1.1880 1.1091 0.0007
2.7509 1.1896 1.2321 0.0053
2.7390 1.1900 1.1178 -0.0004
2.7386 1.1917 1.0447 -0.0020
2.7464 1.1884 0.8196 0.0099
2.7582 1.1898 1.2785 0.0075
2.7535 1.1910 1.2281 0.0160
2.7278 1.1863 0.9248 0.0139
2.7342 1.1901 0.9834 0.0010
2.7571 1.1932 1.2162 0.0032
2.7368 1.1895 0.9057 -0.0002
2.7362 1.1903 1.0615 0.0018
2.7302 1.1879 1.0525 0.0066
2.7446 1.1889 1.1962 0.0019
2.7475 1.1894 0.8261 -0.0037
2.7315 1.1864 0.8869 0.0100
2.7491 1.1906 1.2011 0.0120
2.7410 1.1928 1.0401 0.0056
