total_mass_source chirp_mass_source mass_ratio chi_eff
3.3183 1.4404 0.8740 0.0078
3.2927 1.4304 0.8910 0.0059
3.2725 1.4234 0.9319 0.0091
3.2641 1.4208 1.0000 0.0266
3.3072 1.4379 0.9162 0.0159
3.3532 1.4498 0.8097 0.0241
3.3016 1.4303 0.8371 0.0054
3.3095 1.4371 0.8815 0.0190
3.3044 1.4358 0.8970 0.0223
3.2927 1.4308 0.8997 0.0232
3.3608 1.4485 0.7734 0.0117
3.3324 1.4396 0.7988 0.0177
3.2965 1.4257 0.8134 0.0076
3.3167 1.4436 0.9780 0.0103
3.3479 1.4563 0.9360 -0.0041
3.3186 1.4414 0.8870 0.0088
3.2894 1.4313 0.9547 -0.0079
3.3249 1.4472 0.9796 0.0259
3.3309 1.4302 0.7392 0.0149
3.3248 1.4471 0.9832 0.0052
3.3553 1.4539 0.8406 0.0028
3.3393 1.4428 0.8006 0.0245
3.2858 1.4301 0.9796 0.0090
3.3384 1.4526 0.9507 0.0053
3.3397 1.4536 0.9744 0.0055
3.2733 1.4244 0.9588 0.0158
3.3813 1.4529 0.7454 0.0283
3.3335 1.4502 0.9438 0.0099
3.3417 1.4546 0.9898 0.0293
3.3113 1.4410 0.9615 0.0039
3.3543 1.4600 0.9857 0.0205
3.3026 1.4339 0.8772 0.0020
3.3093 1.4391 0.9242 0.0038
3.2910 1.4323 0.9684 0.0028
3.3074 1.4385 0.9307 0.0043
3.2927 1.4332 0.9832 0.0109
3.3165 1.4406 0.8880 0.0165
3.3238 1.4454 0.9220 -0.0021
3.2342 1.4071 0.9440 0.0090
3.3235 1.4462 0.9549 0.0155
3.3261 1.4433 0.8665 0.0214
3.3325 1.4493 0.9265 0.0107
3.3731 1.4538 0.7734 0.0126
3.2934 1.4297 0.8751 0.0077
3.3107 1.4389 0.9048 0.0189
3.2962 1.4335 0.9278 0.0022
3.2556 1.4163 0.9403 0.0179
3.3589 1.4486 0.7801 0.0096
3.2932 1.4326 0.9388 0.0208
3.3146 1.4389 0.8745 0.0170
3.3034 1.4318 0.8453 0.0224
3.3452 1.4560 0.9826 0.0176
3.2873 1.4309 0.9886 0.0026
3.2960 1.4325 0.9050 0.0100
3.3603 1.4474 0.7675 0.0043
3.2879 1.4292 0.9090 0.0076
3.3260 1.4355 0.7884 0.0290
3.3501 1.4446 0.7784 0.0223
3.2737 1.4245 0.9522 0.0073
3.2573 1.4170 0.9388 0.0054
3.3209 1.4451 0.9584 0.0185
3.2942 1.4338 0.9815 0.0108
3.3568 1.4507 0.8039 0.0178
3.3326 1.4506 0.9927 0.0166
3.3315 1.4458 0.8681 0.0073
3.2716 1.4043 0.7367 0.0161
3.2527 1.4150 0.9377 0.0159
3.2987 1.4355 0.9620 0.0049
3.2527 1.4084 0.8292 0.0199
3.3331 1.4385 0.7877 0.0329
3.3485 1.4572 0.9639 0.0064
3.3692 1.4508 0.7645 0.0205
3.2938 1.4333 0.9563 0.0082
3.3539 1.4224 0.6586 0.0369
3.3492 1.4225 0.6666 0.0358
3.3323 1.4418 0.8189 0.0074
3.2916 1.4136 0.7406 0.0139
3.2573 1.4173 0.9536 0.0136
3.2932 1.4272 0.8433 0.0161
3.3196 1.4449 0.9894 0.0138
3.3719 1.4667 0.9337 0.0244
3.2915 1.4250 0.8271 0.0156
3.3270 1.4438 0.8685 0.0129
3.3066 1.4282 0.7965 0.0248
3.2993 1.4361 0.9944 0.0027
3.3026 1.4373 0.9673 0.0066
3.3387 1.4425 0.8005 0.0110
3.3140 1.4412 0.9266 0.0002
3.3225 1.4458 0.9592 0.0033
3.3067 1.4390 0.9616 0.0150
3.3144 1.4397 0.8882 0.0037
3.3238 1.4461 0.9482 0.0043
3.3117 1.4310 0.8017 0.0106
3.2980 1.4341 0.9211 0.0176
3.3255 1.4474 0.9735 0.0136
3.2843 1.4274 0.9031 -0.0015
3.3138 1.4385 0.8747 0.0127
3.2621 1.4184 0.9193 0.0165
3.3282 1.4486 0.9822 0.0070
3.3071 1.4359 0.8798 0.0124
3.3382 1.4504 0.8953 0.0059
3.2916 1.4328 0.9981 0.0097
3.2789 1.4241 0.8862 0.0055
3.2946 1.4288 0.8549 0.0108
3.3172 1.4386 0.8552 0.0228
3.2704 1.4233 0.9691 0.0119
3.3736 1.4541 0.7741 0.0290
3.3092 1.4308 0.8098 0.0205
3.3193 1.4435 0.9245 -0.0038
3.3255 1.4420 0.8527 0.0050
3.2996 1.4309 0.8547 0.0087
3.3575 1.4611 0.9649 0.0124
3.3244 1.4408 0.8443 0.0152
3.3397 1.4465 0.8338 0.0149
3.3395 1.4397 0.7758 0.0232
3.2992 1.4283 0.8266 0.0180
3.2599 1.4156 0.8813 0.0171
3.3344 1.4310 0.7355 0.0254
3.3065 1.4387 0.9504 0.0056
3.2758 1.4246 0.9270 -0.0013
3.2822 1.4227 0.8459 0.0160
3.2843 1.4285 0.9314 0.0143
3.2468 1.4080 0.8540 0.0021
3.2562 1.4159 0.9205 0.0065
3.2810 1.4281 0.9819 0.0021
3.2789 1.4272 0.9856 0.0147
3.3290 1.4441 0.8599 0.0214
3.3312 1.4441 0.8479 0.0050
3.2730 1.4246 0.9878 -0.0052
3.2827 1.4239 0.8585 0.0150
3.3804 1.4431 0.6970 0.0203
3.2845 1.4221 0.8288 0.0279
3.2772 1.4249 0.9163 0.0008
3.3443 1.4557 0.9950 0.0229
3.3288 1.4430 0.8470 0.0152
3.3298 1.4480 0.9225 0.0261
3.2592 1.4142 0.8654 -0.0023
3.2476 1.4133 0.9640 0.0062
3.3301 1.4495 0.9880 0.0133
3.2850 1.4239 0.8462 0.0008
3.2495 1.4138 0.9490 0.0049
3.3546 1.4238 0.6625 0.0392
3.3443 1.4550 0.9471 0.0170
3.2708 1.4232 0.9504 0.0174
3.3174 1.4351 0.8161 0.0221
3.2505 1.4145 0.9598 0.0163
3.3553 1.4454 0.7682 0.0170
3.3247 1.4458 0.9233 0.0166
3.2910 1.4302 0.9028 0.0025
3.3097 1.4382 0.8998 0.0308
3.3613 1.4567 0.8429 0.0150
3.3505 1.4385 0.7386 0.0082
3.2853 1.4269 0.8859 0.0042
3.3207 1.4447 0.9427 0.0139
3.3064 1.4387 0.9550 0.0078
3.3071 1.4372 0.9006 0.0190
3.3386 1.4454 0.8273 0.0156
3.3134 1.4407 0.9195 -0.0005
3.2843 1.4295 0.9924 -0.0012
3.3685 1.4498 0.7602 0.0302
3.3093 1.4390 0.9213 0.0042
3.3102 1.4359 0.8603 -0.0037
3.3702 1.4552 0.7927 0.0124
3.3079 1.4386 0.9255 0.0100
3.3639 1.4370 0.7015 0.0339
3.3185 1.4339 0.8019 0.0193
3.3394 1.4536 0.9907 0.0050
3.3027 1.4369 0.9433 -0.0009
3.3368 1.4522 0.9694 0.0131
3.3097 1.4243 0.7589 0.0075
3.3360 1.4506 0.9218 0.0100
3.3061 1.4381 0.9366 -0.0015
3.3000 1.4363 0.9754 0.0140
3.2987 1.4358 0.9872 0.0074
3.3788 1.4674 0.8851 0.0254
3.3121 1.4415 0.9783 0.0070
3.2273 1.4041 0.9466 0.0050
3.3673 1.4657 0.9843 0.0123
3.3077 1.4384 0.9240 0.0161
3.3395 1.4534 0.9673 0.0111
3.3330 1.4452 0.8514 0.0084
3.3227 1.4331 0.7808 0.0409
3.3625 1.4520 0.7940 0.0163
3.3078 1.4389 0.9371 0.0031
3.3185 1.4443 0.9754 0.0259
3.2898 1.4298 0.9044 -0.0011
3.3653 1.4558 0.8161 0.0200
3.3002 1.4336 0.8916 0.0162
3.2548 1.4158 0.9353 0.0069
3.3149 1.4423 0.9480 -0.0003
3.3206 1.4454 0.9962 0.0022
3.2763 1.4129 0.7792 0.0149
3.3490 1.4468 0.7987 0.0111
3.3768 1.4543 0.7662 0.0296
3.2260 1.4034 0.9417 0.0138
3.3749 1.4532 0.7641 0.0124
3.2855 1.4299 0.9691 -0.0042
3.3336 1.4501 0.9376 0.0025
3.2835 1.4091 0.7349 0.0195
3.3493 1.4548 0.8876 0.0138
3.3009 1.4282 0.8182 0.0187
3.3072 1.4394 0.9726 0.0026
3.3220 1.4457 0.9618 0.0099
3.3034 1.4377 0.9694 -0.0021
3.3013 1.4356 0.9228 0.0070
3.2898 1.4289 0.8872 0.0071
3.2846 1.4282 0.9204 0.0164
3.3513 1.4347 0.7164 0.0212
3.3532 1.4595 0.9845 0.0095
3.3447 1.4509 0.8595 0.0054
3.3517 1.4582 0.9431 -0.0062
3.3186 1.4364 0.8238 0.0099
3.2591 1.4178 0.9414 0.0095
3.3238 1.4458 0.9337 0.0143
3.2769 1.4256 0.9415 0.0119
3.3165 1.4355 0.8240 0.0133
3.3665 1.4438 0.7299 0.0186
3.2735 1.4224 0.8988 0.0001
3.2666 1.4215 0.9582 0.0068
3.3056 1.4327 0.8447 0.0099
3.2825 1.4255 0.8833 0.0021
3.3302 1.4441 0.8529 0.0073
3.3674 1.4653 0.9556 0.0132
3.2451 1.4110 0.9196 0.0073
3.3018 1.4338 0.8819 0.0100
3.2651 1.4192 0.9072 0.0054
3.2879 1.4298 0.9233 0.0081
3.3325 1.4503 0.9693 0.0156
3.3406 1.4539 0.9735 0.0071
3.3126 1.4369 0.8592 0.0185
3.2725 1.4222 0.9018 0.0074
3.3005 1.4328 0.8746 0.0079
3.2960 1.4346 0.9784 0.0035
3.3115 1.4411 0.9612 0.0196
3.3269 1.4442 0.8750 0.0182
3.3498 1.4580 0.9834 0.0006
3.3308 1.4496 0.9662 0.0115
3.3061 1.4376 0.9215 0.0278
3.3066 1.4372 0.9067 0.0176
3.2799 1.4253 0.8991 -0.0010
3.3384 1.4529 0.9668 0.0053
3.3088 1.4397 0.9501 0.0233
3.3511 1.4345 0.7157 0.0181
3.3350 1.4498 0.9121 -0.0004
3.2948 1.4231 0.7967 0.0210
3.3544 1.4585 0.9191 0.0132
3.3151 1.4264 0.7575 0.0193
3.3090 1.4321 0.8227 0.0157
3.3329 1.4480 0.8938 0.0098
3.2832 1.4290 0.9801 0.0090
3.3016 1.4258 0.7945 0.0179
3.3362 1.4472 0.8599 0.0063
3.3232 1.4416 0.8601 0.0077
3.3687 1.4538 0.7876 0.0231
3.3599 1.4605 0.9091 0.0225
3.3312 1.4451 0.8597 0.0199
3.3340 1.4511 0.9819 0.0009
3.3192 1.4349 0.8079 0.0044
3.3309 1.4471 0.8924 0.0081
3.2931 1.4256 0.8258 0.0192
3.2993 1.4148 0.7288 0.0121
3.3141 1.4341 0.8202 0.0154
3.3277 1.4431 0.8544 0.0192
3.2620 1.4184 0.9209 0.0362
3.3252 1.4442 0.8861 -0.0040
3.3556 1.4599 0.9425 0.0086
3.2828 1.4257 0.8844 0.0084
3.3546 1.4495 0.8018 0.0174
3.3833 1.4549 0.7521 0.0169
3.3296 1.4493 0.9991 -0.0000
3.3364 1.4489 0.8833 0.0190
3.2464 1.4130 0.9865 0.0104
3.2992 1.4332 0.8912 0.0184
3.3553 1.4371 0.7201 0.0266
3.3067 1.4370 0.9019 0.0106
3.3208 1.4431 0.9005 0.0138
3.3767 1.4682 0.9183 0.0167
3.3250 1.4458 0.9214 0.0217
3.3564 1.4555 0.8538 0.0070
3.3542 1.4538 0.8445 0.0121
3.3230 1.4463 0.9773 0.0018
3.3758 1.4613 0.8252 0.0238
3.3100 1.4389 0.9112 0.0076
3.2933 1.4217 0.7906 0.0229
3.2847 1.4280 0.9131 0.0188
3.3320 1.4499 0.9576 -0.0046
3.2812 1.4266 0.9162 0.0062
3.2783 1.4252 0.9130 0.0064
3.2837 1.4293 0.9816 0.0094
3.3301 1.4495 0.9836 0.0121
3.2800 1.4184 0.8114 0.0218
3.2670 1.4220 0.9899 -0.0001
3.2612 1.4175 0.9072 0.0226
3.3994 1.4509 0.6959 0.0335
3.2521 1.4144 0.9284 -0.0027
3.3363 1.4470 0.8570 0.0044
3.2919 1.4320 0.9387 0.0202
3.2986 1.4351 0.9456 0.0133
3.3744 1.4626 0.8461 0.0128
3.3318 1.4409 0.8126 0.0247
3.2857 1.4276 0.8961 0.0167
3.2832 1.4290 0.9836 0.0039
3.3148 1.4384 0.8662 0.0122
3.2580 1.4181 0.9895 0.0059
3.3024 1.4304 0.8346 0.0144
3.2813 1.4225 0.8482 -0.0001
3.2900 1.4312 0.9410 0.0101
3.2832 1.4273 0.9135 0.0238
3.3209 1.4335 0.7896 0.0071
3.2638 1.4204 0.9637 0.0034
3.3386 1.4501 0.8881 0.0203
3.2882 1.4208 0.8010 0.0155
3.2552 1.4142 0.8934 0.0181
3.3672 1.4481 0.7526 0.0208
3.2898 1.4293 0.8937 0.0234
3.3364 1.4458 0.8420 0.0082
3.3519 1.4532 0.8496 0.0150
3.3624 1.4545 0.8158 0.0121
3.2764 1.4223 0.8756 0.0129
3.3087 1.4373 0.8900 0.0102
3.3481 1.4571 0.9654 0.0056
3.2942 1.4337 0.9705 0.0007
3.2492 1.4134 0.9377 0.0071
3.3300 1.4494 0.9831 -0.0008
3.3830 1.4359 0.6627 0.0381
3.3480 1.4561 0.9272 0.0077
3.2928 1.4307 0.8967 0.0121
3.3669 1.4604 0.8585 0.0141
3.2844 1.4291 0.9536 0.0098
3.3053 1.4379 0.9406 0.0152
3.3184 1.4430 0.9216 -0.0044
3.2608 1.4137 0.8492 0.0114
3.2930 1.4320 0.9242 0.0149
3.2648 1.4174 0.8773 0.0027
3.2706 1.4207 0.8898 0.0105
3.2344 1.4076 0.9676 0.0060
3.3731 1.4544 0.7778 0.0185
3.2671 1.4199 0.9044 0.0040
3.3169 1.4418 0.9107 0.0015
3.2861 1.4254 0.8594 0.0145
3.2965 1.4295 0.8533 0.0092
3.3077 1.4393 0.9533 0.0202
3.2753 1.4240 0.9145 0.0006
3.2679 1.4211 0.9226 -0.0002
3.3474 1.4523 0.8620 0.0040
3.2990 1.4327 0.8846 0.0144
3.3917 1.4686 0.8296 0.0112
3.3246 1.4424 0.8633 0.0114
3.2614 1.4195 0.9717 0.0171
3.2758 1.4166 0.8121 0.0210
3.2513 1.4143 0.9373 0.0076
3.3516 1.4541 0.8630 -0.0007
3.3621 1.4546 0.8177 0.0117
3.3024 1.4373 0.9741 0.0057
3.3017 1.4359 0.9253 0.0016
3.3469 1.4513 0.8531 0.0069
3.3257 1.4476 0.9875 0.0050
3.2885 1.4311 0.9606 0.0160
3.3130 1.4325 0.8100 0.0245
3.2965 1.4321 0.8931 0.0046
3.3288 1.4402 0.8182 0.0114
3.3235 1.4442 0.8992 0.0082
3.3184 1.4436 0.9388 0.0026
3.3393 1.4500 0.8805 0.0224
3.2596 1.4187 0.9809 0.0031
3.2501 1.4137 0.9352 -0.0008
3.3229 1.4188 0.6981 0.0197
3.2920 1.4320 0.9369 0.0238
3.3523 1.4591 0.9810 0.0016
3.2811 1.4216 0.8393 0.0166
3.3086 1.4371 0.8885 0.0284
3.2702 1.4234 0.9993 -0.0041
3.3012 1.4269 0.8050 0.0265
3.2769 1.4262 0.9732 0.0118
3.3011 1.4362 0.9459 0.0147
3.2877 1.4254 0.8500 0.0137
3.3109 1.4400 0.9293 0.0114
3.3239 1.4439 0.8901 0.0117
3.3094 1.4344 0.8458 0.0122
3.2899 1.4149 0.7528 0.0102
3.3396 1.4534 0.9679 -0.0039
3.2433 1.4116 0.9771 0.0004
3.2880 1.4281 0.8865 0.0070
3.3506 1.4449 0.7790 0.0153
3.3750 1.4588 0.8055 0.0025
3.3829 1.4678 0.8642 0.0169
3.2990 1.4359 0.9812 0.0039
3.4108 1.4637 0.7348 0.0271
3.2785 1.4269 0.9793 0.0213
3.3101 1.4378 0.8877 0.0158
3.2671 1.4212 0.9366 0.0090
3.2928 1.4291 0.8697 0.0021
3.3332 1.4504 0.9535 0.0192
3.3696 1.4541 0.7866 0.0276
3.2946 1.4315 0.8958 0.0073
3.3380 1.4496 0.8833 0.0010
3.3065 1.4362 0.8889 0.0235
3.3007 1.4297 0.8345 0.0180
3.3316 1.4481 0.9059 0.0155
3.3262 1.4319 0.7618 0.0103
3.3886 1.4604 0.7726 0.0112
3.2757 1.4258 0.9894 0.0014
3.3089 1.4400 0.9618 0.0001
3.3338 1.4484 0.8943 0.0057
3.3518 1.4472 0.7925 0.0261
3.2994 1.4311 0.8571 0.0277
3.2933 1.4282 0.8545 0.0111
3.3147 1.4425 0.9605 0.0063
3.2856 1.4285 0.9153 0.0126
3.2893 1.4288 0.8897 0.0108
3.3467 1.4527 0.8728 0.0303
3.2943 1.4257 0.8224 0.0159
3.2618 1.4190 0.9419 0.0103
3.3255 1.4455 0.9086 0.0078
3.2989 1.4343 0.9159 0.0060
3.3704 1.4609 0.8452 0.0058
3.3012 1.4369 0.9964 0.0025
3.3119 1.4391 0.8979 0.0130
3.2848 1.4226 0.8322 -0.0084
3.2754 1.4257 0.9964 0.0047
3.3164 1.4422 0.9246 0.0174
3.2709 1.4168 0.8350 0.0098
3.3745 1.4675 0.9257 0.0030
3.3175 1.4268 0.7531 0.0235
3.2892 1.4274 0.8682 0.0083
3.3563 1.4598 0.9314 0.0158
3.2657 1.4184 0.8871 0.0325
3.3053 1.4379 0.9407 0.0031
3.2678 1.4217 0.9436 0.0077
3.3132 1.4416 0.9500 0.0088
3.3201 1.4424 0.8926 0.0126
3.3184 1.4428 0.9161 0.0220
3.3129 1.4417 0.9621 0.0252
3.2889 1.4305 0.9324 0.0058
3.2862 1.4241 0.8422 0.0049
3.3238 1.4416 0.8572 0.0182
3.3232 1.4448 0.9143 0.0130
3.3673 1.4605 0.8567 0.0162
3.3279 1.4439 0.8638 0.0049
3.3150 1.4412 0.9149 0.0209
3.2944 1.4175 0.7576 0.0239
3.2328 1.4066 0.9511 -0.0014
3.2866 1.4302 0.9578 0.0081
3.3097 1.4401 0.9538 0.0114
3.2458 1.4110 0.9120 0.0085
3.3356 1.4479 0.8729 0.0122
3.3705 1.4603 0.8388 0.0168
3.3095 1.4387 0.9128 0.0118
3.2737 1.4240 0.9345 0.0130
3.3210 1.4450 0.9501 0.0098
3.3002 1.4358 0.9471 -0.0033
3.3165 1.4340 0.8097 0.0274
3.3635 1.4401 0.7173 0.0139
3.3190 1.4196 0.7101 0.0236
3.3398 1.4471 0.8397 0.0076
3.3748 1.4490 0.7391 0.0221
3.2560 1.4156 0.9148 0.0186
3.2935 1.4183 0.7651 0.0184
3.3393 1.4446 0.8162 0.0057
3.3028 1.4376 0.9852 -0.0001
3.3058 1.4389 0.9885 0.0024
3.3192 1.4444 0.9598 0.0233
3.2675 1.4219 0.9614 0.0096
3.3463 1.4557 0.9402 0.0046
3.3431 1.4406 0.7715 0.0162
3.2903 1.4318 0.9573 0.0126
3.2500 1.4119 0.8927 -0.0005
3.2802 1.4234 0.8667 0.0188
3.2536 1.4162 0.9842 0.0099
3.3151 1.4430 0.9950 -0.0069
3.3222 1.4433 0.8936 0.0044
3.3270 1.4465 0.9148 0.0063
3.3679 1.4659 0.9828 0.0164
3.2663 1.4201 0.9149 0.0126
3.2834 1.4229 0.8427 0.0236
3.3607 1.4583 0.8660 0.0173
3.3477 1.4289 0.6961 0.0305
3.3016 1.4353 0.9136 0.0085
3.3194 1.4383 0.8399 0.0132
3.3355 1.4462 0.8502 0.0106
3.3400 1.4499 0.8747 0.0073
3.2966 1.4318 0.8865 0.0217
3.3656 1.4584 0.8416 0.0147
3.2878 1.4306 0.9536 0.0027
3.2648 1.4206 0.9537 0.0168
3.3445 1.4398 0.7623 0.0362
3.3419 1.4419 0.7846 0.0113
3.3695 1.4546 0.7907 0.0221
3.3776 1.4425 0.7001 0.0145
3.2845 1.4296 0.9891 0.0100
3.3106 1.4391 0.9103 0.0259
3.2835 1.4248 0.8663 0.0248
3.2706 1.4236 0.9839 0.0113
3.2702 1.4234 0.9975 0.0256
3.2899 1.4182 0.7753 0.0275
3.2618 1.4198 0.9959 0.0030
3.2968 1.4350 0.9856 -0.0016
3.3499 1.4574 0.9416 0.0148
3.3189 1.4446 0.9900 0.0099
3.2932 1.4311 0.9014 0.0137
3.3754 1.4538 0.7662 0.0212
3.3249 1.4463 0.9352 0.0077
3.3715 1.4640 0.8816 0.0198
3.3459 1.4538 0.8965 0.0194
3.3766 1.4604 0.8132 0.0091
3.3210 1.4423 0.8846 0.0160
3.3519 1.4457 0.7810 0.0114
3.3750 1.4635 0.8536 0.0090
3.2930 1.4320 0.9234 0.0177
3.3335 1.4274 0.7178 0.0127
3.2705 1.4231 0.9546 0.0196
3.3232 1.4443 0.9041 0.0116
3.3325 1.4474 0.8873 0.0097
3.2735 1.4172 0.8268 0.0142
3.2687 1.4215 0.9240 0.0254
3.2758 1.4234 0.8991 0.0164
3.2980 1.4305 0.8583 0.0155
3.2913 1.4314 0.9266 0.0188
3.3291 1.4456 0.8801 0.0096
3.2773 1.4261 0.9582 -0.0023
3.3240 1.4463 0.9510 -0.0016
3.3077 1.4396 0.9738 0.0029
3.2733 1.4173 0.8285 0.0135
3.3179 1.4441 0.9790 0.0170
3.2181 1.4002 0.9510 0.0087
3.2996 1.4237 0.7848 0.0116
3.3454 1.4561 0.9797 0.0139
3.3385 1.4444 0.8176 0.0160
3.2951 1.4330 0.9260 0.0120
3.3605 1.4294 0.6751 0.0336
3.2968 1.4343 0.9459 0.0093
3.3061 1.4224 0.7567 0.0062
3.3289 1.4464 0.8969 0.0285
3.3107 1.4411 0.9870 -0.0021
3.3032 1.4366 0.9286 0.0030
3.2545 1.4023 0.7710 0.0156
3.3409 1.4535 0.9439 0.0112
3.3689 1.4620 0.8685 0.0062
3.3063 1.4324 0.8377 -0.0051
3.2618 1.4160 0.8755 0.0141
3.2615 1.4191 0.9525 0.0253
3.2951 1.4318 0.8992 0.0156
3.3238 1.4464 0.9609 0.0075
3.3166 1.4420 0.9171 0.0026
3.3173 1.4399 0.8721 0.0107
3.3290 1.4488 0.9702 0.0034
3.3494 1.4530 0.8606 0.0167
3.2498 1.4090 0.8508 0.0194
3.3124 1.4395 0.9014 0.0046
3.3389 1.4521 0.9288 0.0146
3.3194 1.4444 0.9542 0.0048
3.2718 1.4200 0.8706 0.0053
3.3436 1.4550 0.9568 0.0028
3.3095 1.4406 0.9978 0.0262
3.2648 1.4183 0.8913 0.0182
3.2960 1.4312 0.8805 -0.0022
3.2747 1.4249 0.9532 0.0032
3.3168 1.4353 0.8209 0.0194
3.3286 1.4459 0.8898 0.0259
3.3193 1.4441 0.9459 0.0328
3.2741 1.4240 0.9299 0.0003
3.2954 1.4343 0.9853 0.0012
3.3019 1.4352 0.9074 0.0147
3.3416 1.4541 0.9559 0.0149
3.2606 1.4176 0.9161 0.0079
3.3224 1.4459 0.9642 0.0010
3.3858 1.4572 0.7598 0.0152
3.2726 1.4202 0.8678 0.0140
3.3394 1.4518 0.9142 0.0083
3.3341 1.4512 0.9902 0.0094
3.3058 1.4388 0.9764 0.0001
3.3415 1.4545 0.9990 0.0136
3.3382 1.4237 0.6908 0.0239
3.3101 1.4268 0.7745 0.0121
3.3021 1.4338 0.8804 -0.0065
3.2359 1.4085 0.9949 0.0152
3.2805 1.4273 0.9470 0.0023
3.3353 1.4420 0.8082 0.0256
3.3543 1.4533 0.8391 0.0095
3.3859 1.4512 0.7248 0.0241
3.3182 1.4347 0.8092 0.0142
3.3731 1.4385 0.6906 0.0400
3.3632 1.4606 0.8849 0.0241
3.2365 1.4086 0.9738 0.0073
3.2854 1.4296 0.9540 0.0065
3.3595 1.4596 0.8954 0.0169
3.2956 1.4333 0.9282 0.0132
3.3792 1.4512 0.7409 0.0193
3.2812 1.4251 0.8859 0.0086
3.3119 1.4407 0.9366 0.0056
3.2863 1.4295 0.9370 0.0123
3.3235 1.4454 0.9258 0.0076
3.3277 1.4297 0.7443 0.0120
3.2973 1.4344 0.9405 -0.0050
3.2572 1.4175 0.9648 -0.0085
3.3214 1.4453 0.9581 0.0002
3.3098 1.4347 0.8463 0.0101
3.3221 1.4417 0.8687 0.0233
3.3299 1.4418 0.8289 0.0000
3.3166 1.4361 0.8300 0.0017
3.3211 1.4311 0.7712 0.0251
3.3774 1.4625 0.8306 0.0051
3.3782 1.4613 0.8154 0.0281
3.3343 1.4436 0.8284 0.0130
3.2810 1.4261 0.9077 0.0059
3.2587 1.4084 0.8041 0.0254
3.2806 1.4240 0.8722 0.0071
3.2592 1.4182 0.9549 0.0101
3.2581 1.4175 0.9448 0.0142
3.2784 1.4268 0.9715 0.0189
3.3489 1.4531 0.8645 0.0143
3.2948 1.4181 0.7599 0.0063
3.3055 1.4364 0.9002 0.0126
3.3104 1.4341 0.8364 0.0186
3.3125 1.4347 0.8333 0.0056
3.2923 1.4295 0.8791 0.0201
3.3066 1.4379 0.9225 0.0241
3.3616 1.4534 0.8093 0.0136
3.3242 1.4469 0.9947 0.0033
3.3056 1.4388 0.9843 0.0149
3.2741 1.4199 0.8547 0.0158
3.3468 1.4505 0.8434 0.0040
3.2974 1.4320 0.8850 -0.0022
3.2928 1.4273 0.8458 0.0264
3.3614 1.4601 0.8890 0.0111
3.3086 1.4329 0.8321 0.0213
3.3325 1.4477 0.8913 0.0108
3.2897 1.4317 0.9644 0.0115
3.3092 1.4404 0.9843 0.0161
3.3483 1.4396 0.7506 0.0296
3.3249 1.4460 0.9283 0.0145
3.3740 1.4625 0.8465 0.0152
3.3770 1.4559 0.7765 0.0065
3.3076 1.4341 0.8507 0.0147
3.3411 1.4495 0.8627 0.0133
3.2548 1.4166 0.9740 0.0042
3.3301 1.4456 0.8745 0.0237
3.3754 1.4472 0.7278 0.0179
3.2777 1.4261 0.9476 0.0025
3.3031 1.4275 0.8038 0.0286
3.3024 1.4367 0.9450 0.0197
3.3130 1.4372 0.8602 0.0070
3.2531 1.4159 0.9788 0.0138
3.2708 1.4237 0.9902 0.0004
3.2944 1.4291 0.8596 0.0080
3.3272 1.4482 0.9946 0.0286
3.2939 1.4334 0.9614 -0.0058
3.3416 1.4530 0.9202 0.0150
3.2926 1.4134 0.7370 0.0241
3.3944 1.4766 0.9379 0.0081
3.3285 1.4410 0.8265 0.0075
3.3467 1.4507 0.8466 0.0107
3.2857 1.4295 0.9453 0.0083
3.2735 1.4202 0.8630 0.0125
3.3516 1.4572 0.9163 -0.0022
3.2838 1.4256 0.8753 0.0079
3.3330 1.4362 0.7714 0.0099
3.2701 1.4214 0.9063 0.0098
3.2797 1.4275 0.9822 0.0042
3.3023 1.4373 0.9787 0.0146
3.3894 1.4482 0.7027 0.0199
3.3378 1.4527 0.9720 0.0118
3.3637 1.4630 0.9292 -0.0018
3.2957 1.4343 0.9675 0.0161
3.3430 1.4509 0.8695 0.0044
3.3498 1.4454 0.7857 0.0178
3.3290 1.4480 0.9341 -0.0021
3.3082 1.4385 0.9215 0.0121
3.3225 1.4443 0.9098 0.0127
3.3360 1.4450 0.8352 0.0230
3.3185 1.4321 0.7871 0.0127
3.3169 1.4384 0.8541 0.0039
3.2863 1.4270 0.8819 0.0099
3.2753 1.4243 0.9244 0.0116
3.3251 1.4472 0.9765 0.0004
3.3251 1.4397 0.8291 -0.0053
3.3285 1.4457 0.8872 0.0093
3.3380 1.4506 0.9009 0.0084
3.3304 1.4478 0.9126 0.0017
3.3122 1.4394 0.9010 0.0164
3.3622 1.4537 0.8094 0.0215
3.3377 1.4526 0.9711 0.0088
3.3213 1.4457 0.9873 0.0183
3.3386 1.4526 0.9494 0.0127
3.2942 1.4339 0.9961 0.0162
3.3007 1.4365 0.9665 0.0186
3.4009 1.4522 0.6988 0.0264
3.2885 1.4246 0.8372 0.0246
3.3550 1.4516 0.8180 0.0148
3.3646 1.4591 0.8544 0.0086
3.3287 1.4434 0.8528 0.0063
3.2739 1.4207 0.8671 0.0206
3.3257 1.4413 0.8432 0.0076
3.3290 1.4469 0.9050 0.0084
3.2819 1.4285 0.9944 0.0268
3.2604 1.4189 0.9672 0.0176
