total_mass_source chirp_mass_source mass_ratio chi_eff
3.3331 1.4402 0.8016 0.0177
3.3449 1.4536 0.9005 0.0144
3.2948 1.4326 0.9178 0.0261
3.3105 1.4227 0.7465 0.0262
3.3039 1.4372 0.9370 0.0137
3.3472 1.4450 0.7908 0.0238
3.3348 1.4502 0.9246 0.0031
3.2744 1.4208 0.8649 0.0053
3.3397 1.4526 0.9315 0.0051
3.2688 1.4168 0.8451 0.0258
3.3184 1.4378 0.8397 0.0257
3.3123 1.4415 0.9679 0.0080
3.3240 1.4128 0.6702 0.0267
3.2770 1.4243 0.9066 0.0156
3.2891 1.4302 0.9210 0.0272
3.2672 1.4165 0.8500 0.0122
3.3008 1.4344 0.9016 0.0196
3.3125 1.4360 0.8479 0.0071
3.2955 1.4344 0.9872 0.0052
3.2922 1.4247 0.8206 0.0124
3.3593 1.4419 0.7366 0.0123
3.3861 1.4661 0.8286 0.0040
3.2788 1.4271 0.9778 0.0222
3.3504 1.4451 0.7810 0.0269
3.3162 1.4305 0.7823 0.0087
3.2897 1.4319 0.9882 0.0087
3.2779 1.4262 0.9509 0.0026
3.3751 1.4468 0.7260 0.0222
3.2823 1.4276 0.9294 0.0050
3.3415 1.4541 0.9608 0.0114
3.2780 1.4191 0.8262 0.0087
3.2678 1.4220 0.9582 0.0020
3.3177 1.4437 0.9566 -0.0028
3.3751 1.4610 0.8254 0.0153
3.3474 1.4463 0.8005 0.0117
3.3437 1.4432 0.7888 0.0160
3.2766 1.4247 0.9196 0.0048
3.2413 1.4105 0.9603 0.0162
3.3591 1.4488 0.7811 0.0162
3.3513 1.4531 0.8515 0.0092
3.3511 1.4529 0.8497 0.0081
3.3056 1.4294 0.8109 0.0214
3.3322 1.4421 0.8220 0.0151
3.3278 1.4451 0.8813 -0.0020
3.3263 1.4464 0.9207 0.0118
3.3674 1.4485 0.7548 0.0148
3.3286 1.4458 0.8875 0.0060
3.3296 1.4405 0.8171 0.0176
3.2871 1.4302 0.9468 0.0156
3.3294 1.4491 0.9835 0.0153
3.2736 1.4234 0.9193 0.0018
3.3090 1.4403 0.9832 0.0006
3.3140 1.4424 0.9807 0.0071
3.3765 1.4610 0.8196 -0.0062
