m1_source m2_source chi_1 cos_tilt_1 chi_2 cos_tilt_2 m_tot_source m_chirp_source q chi_eff lambda_1 lambda_2 ra dec D_L cos_theta_jn
1.6711 1.6022 0.0293 0.5860 0.0216 0.6683 3.2733 1.4244 0.9588 0.0158 74.1534 600.9942 4.0531 0.5491 201.3491 0.8942
1.9372 1.4440 0.0368 0.6417 0.0401 0.8579 3.3813 1.4529 0.7454 0.0283 949.1931 3633.6182 3.4144 0.9576 105.1988 0.4544
1.7150 1.6185 0.0277 0.0823 0.0484 0.3697 3.3335 1.4502 0.9438 0.0099 320.6066 758.8262 4.2245 1.0078 113.8238 0.4762
1.6794 1.6623 0.0494 0.9236 0.0372 0.3462 3.3417 1.4546 0.9898 0.0293 2473.7842 807.5290 1.1198 -0.6781 100.9952 -0.3702
1.6881 1.6232 0.0266 -0.9147 0.0423 0.7873 3.3113 1.4410 0.9615 0.0039 23.2854 315.3008 4.3826 -0.3577 143.7070 0.8076
1.6892 1.6651 0.0269 0.2470 0.0470 0.7343 3.3543 1.4600 0.9857 0.0205 730.0329 89.9173 1.5071 -1.0410 83.2733 -0.0265
1.7594 1.5433 0.0273 0.1397 0.0001 -0.4175 3.3026 1.4339 0.8772 0.0020 483.2843 292.2815 3.4182 0.8129 167.1435 0.9541
1.7198 1.5895 0.0056 -0.1266 0.0367 0.2384 3.3093 1.4391 0.9242 0.0038 120.3500 715.5017 0.6276 -0.9804 149.7846 -0.7918
1.6719 1.6191 0.0118 0.4491 0.0331 0.0078 3.2910 1.4323 0.9684 0.0028 97.1956 1776.8302 1.0905 -0.5477 172.8397 0.7365
1.7131 1.5944 0.0348 0.2324 0.0095 0.0234 3.3074 1.4385 0.9307 0.0043 333.8337 80.2147 1.3536 -0.4981 151.7706 -0.6052
1.6603 1.6324 0.0246 0.3250 0.0262 0.5286 3.2927 1.4332 0.9832 0.0109 400.0292 453.1534 1.4804 -0.5648 170.8762 -0.6347
1.7566 1.5599 0.0332 0.8218 0.0047 0.9088 3.3165 1.4406 0.8880 0.0165 396.0461 251.8001 1.2378 -1.2449 146.1608 0.7846
1.7293 1.5945 0.0229 -0.6348 0.0377 0.2991 3.3238 1.4454 0.9220 -0.0021 89.6698 2032.2257 1.5409 0.0807 129.0098 -0.6633
1.6636 1.5705 0.0017 -0.9190 0.0209 0.9699 3.2342 1.4071 0.9440 0.0090 241.0968 105.1148 1.1718 -0.5025 261.5083 0.9426
1.7001 1.6234 0.0409 0.8032 0.0052 -0.5075 3.3235 1.4462 0.9549 0.0155 780.6563 285.7127 0.9714 -0.1379 127.1795 -0.4805
1.7820 1.5442 0.0415 0.9508 0.0342 0.0144 3.3261 1.4433 0.8665 0.0214 342.6368 133.1908 4.9911 0.0423 137.2698 -0.8375
1.7298 1.6026 0.0317 0.6919 0.0269 -0.0518 3.3325 1.4493 0.9265 0.0107 2396.4120 1116.1974 4.4658 -0.2194 117.1055 0.7392
1.9021 1.4710 0.0233 0.9553 0.0000 -0.7701 3.3731 1.4538 0.7734 0.0126 550.8340 1900.8593 3.7577 0.9084 101.3908 0.1858
1.7564 1.5370 0.0000 0.3004 0.0203 0.8097 3.2934 1.4297 0.8751 0.0077 259.5021 235.8249 1.4426 -0.0152 181.5568 0.9427
1.7380 1.5726 0.0400 0.6045 0.0177 0.7383 3.3107 1.4389 0.9048 0.0189 1414.0837 673.9317 1.2181 -0.4618 151.5927 0.5646
1.7098 1.5864 0.0335 -0.4116 0.0333 0.5812 3.2962 1.4335 0.9278 0.0022 12.1672 14.0837 0.9465 -0.8090 168.2863 -0.7612
1.6779 1.5777 0.0159 0.9451 0.0409 0.5154 3.2556 1.4163 0.9403 0.0179 705.5383 2429.5747 1.0035 -0.8823 229.1994 0.9726
1.8869 1.4719 0.0415 0.3722 0.0078 0.2817 3.3589 1.4486 0.7801 0.0096 113.4490 262.4262 1.4076 0.1403 118.3599 0.6032
1.6986 1.5946 0.0343 0.5000 0.0292 0.8437 3.2932 1.4326 0.9388 0.0208 1584.1031 480.8344 0.7714 -0.9573 173.2420 -0.8913
1.7683 1.5464 0.0030 0.0161 0.0400 0.9104 3.3146 1.4389 0.8745 0.0170 572.3439 437.6204 0.3883 -0.2469 151.4373 -0.9226
1.7902 1.5132 0.0390 0.9409 0.0418 0.1311 3.3034 1.4318 0.8453 0.0224 412.3666 72.9569 4.0848 0.6686 175.4993 -0.8397
1.6872 1.6579 0.0419 0.1167 0.0485 0.6298 3.3452 1.4560 0.9826 0.0176 161.3805 510.7727 3.9361 0.0128 96.0306 -0.1344
1.6531 1.6342 0.0456 -0.3013 0.0347 0.5493 3.2873 1.4309 0.9886 0.0026 76.4114 706.0084 0.8032 -0.6631 177.6341 0.8081
1.7302 1.5659 0.0319 0.1633 0.0367 0.4142 3.2960 1.4325 0.9050 0.0100 413.3475 394.9421 3.8302 0.6819 172.6775 0.8109
1.9012 1.4592 0.0019 0.3726 0.0108 0.8187 3.3603 1.4474 0.7675 0.0043 32.1289 1635.8435 0.7512 -0.6647 121.7104 0.4371
1.7224 1.5656 0.0240 0.5086 0.0094 0.2738 3.2879 1.4292 0.9090 0.0076 425.4860 35.0028 4.0538 0.9928 183.8663 0.8961
1.8598 1.4662 0.0331 0.9830 0.0403 0.6083 3.3260 1.4355 0.7884 0.0290 368.7346 344.6076 4.3507 -0.1372 163.5205 0.8288
1.8838 1.4663 0.0264 0.8271 0.0263 0.8660 3.3501 1.4446 0.7784 0.0223 605.2980 289.1293 4.1559 0.2158 132.3416 -0.3117
1.6769 1.5968 0.0472 -0.2493 0.0318 0.8610 3.2737 1.4245 0.9522 0.0073 424.3919 55.9309 4.4132 0.1816 200.2405 0.9424
1.6801 1.5772 0.0207 0.1052 0.0354 0.2503 3.2573 1.4170 0.9388 0.0054 173.8286 164.3947 0.7861 -0.2122 226.2082 -0.9832
1.6958 1.6252 0.0056 0.4855 0.0438 0.8000 3.3209 1.4451 0.9584 0.0185 863.1760 330.3065 4.4216 0.2899 131.2170 0.5283
1.6625 1.6317 0.0323 0.5577 0.0067 0.5235 3.2942 1.4338 0.9815 0.0108 527.9539 631.6525 1.4030 -0.1089 168.2771 0.7451
1.8608 1.4959 0.0384 0.6992 0.0123 0.5338 3.3568 1.4507 0.8039 0.0178 115.6591 311.7097 1.5425 0.2110 112.6448 -0.5982
1.6724 1.6602 0.0499 0.5771 0.0054 0.8113 3.3326 1.4506 0.9927 0.0166 1020.2825 1819.0771 0.9759 0.0132 113.0257 -0.1879
1.7833 1.5482 0.0492 0.6871 0.0424 -0.5461 3.3315 1.4458 0.8681 0.0073 223.1930 434.7304 4.4670 -0.3111 127.8279 0.8108
1.8838 1.3878 0.0481 0.4936 0.0408 0.1386 3.2716 1.4043 0.7367 0.0161 142.8863 737.3923 4.3139 0.3076 270.9693 0.9983
1.6787 1.5741 0.0365 0.8469 0.0022 -0.0791 3.2527 1.4150 0.9377 0.0159 213.1671 693.1669 1.3966 -0.5801 233.5700 -0.9672
1.6812 1.6174 0.0230 0.4116 0.0021 0.0932 3.2987 1.4355 0.9620 0.0049 58.1814 368.5295 0.8811 -0.6452 162.3030 0.4695
1.7783 1.4744 0.0226 0.7474 0.0284 0.8314 3.2527 1.4084 0.8292 0.0199 249.7236 842.5293 0.9319 -0.6626 257.2713 0.8958
1.8645 1.4686 0.0467 0.7218 0.0388 0.8192 3.3331 1.4385 0.7877 0.0329 421.0578 945.9651 3.8558 0.5270 153.3950 0.7618
1.7050 1.6435 0.0219 0.9064 0.0098 -0.7583 3.3485 1.4572 0.9639 0.0064 705.1246 357.6308 4.9587 0.2250 90.8166 0.1352
1.9095 1.4598 0.0488 0.8854 0.0138 -0.6598 3.3692 1.4508 0.7645 0.0205 9.7889 1198.2299 4.0811 -0.0632 111.7158 -0.6335
1.6837 1.6102 0.0403 0.4024 0.0350 -0.0075 3.2938 1.4333 0.9563 0.0082 370.0510 150.3564 0.7546 -0.2598 169.6573 -0.7933
2.0221 1.3318 0.0362 0.9557 0.0476 0.8472 3.3539 1.4224 0.6586 0.0369 1062.9079 606.8566 4.3545 0.2339 207.0962 0.9359
2.0096 1.3396 0.0433 0.9272 0.0332 0.8824 3.3492 1.4225 0.6666 0.0358 1033.8015 609.8116 4.4106 0.1693 206.6414 0.9680
1.8320 1.5003 0.0257 0.5537 0.0040 -0.2060 3.3323 1.4418 0.8189 0.0074 606.4263 8.4460 0.3662 -0.7628 140.7775 -0.9046
1.8911 1.4005 0.0266 0.5571 0.0380 0.3356 3.2916 1.4136 0.7406 0.0139 251.1935 1945.6681 0.7718 -0.2881 237.9692 -0.9813
1.6673 1.5900 0.0400 0.6709 0.0067 -0.0486 3.2573 1.4173 0.9536 0.0136 307.0173 267.6354 1.1710 -0.4954 225.8057 0.8982
1.7866 1.5066 0.0241 0.5508 0.0306 0.6389 3.2932 1.4272 0.8433 0.0161 75.9021 608.6806 0.8125 -0.2632 190.8970 -0.9560
1.6686 1.6510 0.0378 0.6647 0.0064 0.3568 3.3196 1.4449 0.9894 0.0138 2065.3083 1547.6279 4.9934 -0.1383 131.1027 -0.9753
1.7437 1.6282 0.0332 0.7926 0.0430 0.5178 3.3719 1.4667 0.9337 0.0244 610.7141 483.4330 1.2222 0.4576 62.7078 0.1520
1.8015 1.4900 0.0430 0.5706 0.0163 0.2923 3.2915 1.4250 0.8271 0.0156 91.3556 472.4087 1.0491 0.0301 198.5884 -0.8981
1.7805 1.5464 0.0230 0.7066 0.0491 0.1855 3.3270 1.4438 0.8685 0.0129 279.0272 514.0599 0.8860 -0.1918 134.7541 -0.3478
1.8406 1.4660 0.0364 0.9983 0.0120 0.8661 3.3066 1.4282 0.7965 0.0248 1929.0462 2136.6627 4.0133 0.5274 187.4549 0.8245
1.6542 1.6450 0.0028 0.0451 0.0058 0.9299 3.2993 1.4361 0.9944 0.0027 332.0979 197.2908 1.4645 -0.2654 159.9174 -0.7202
1.6788 1.6239 0.0428 0.2948 0.0014 0.3242 3.3026 1.4373 0.9673 0.0066 315.3129 320.6754 1.4174 -0.1925 156.0295 0.7649
1.8543 1.4844 0.0475 0.1075 0.0207 0.8852 3.3387 1.4425 0.8005 0.0110 286.1980 69.1412 3.7611 0.8636 138.5073 -0.6199
1.7201 1.5938 0.0010 0.6794 0.0005 -0.4039 3.3140 1.4412 0.9266 0.0002 161.5563 1306.2488 4.5577 -0.4140 143.0919 0.8701
1.6958 1.6267 0.0234 0.2726 0.0012 0.0902 3.3225 1.4458 0.9592 0.0033 160.9244 99.7729 3.3141 0.5212 127.8382 -0.8178
1.6857 1.6210 0.0383 0.5745 0.0268 0.2867 3.3067 1.4390 0.9616 0.0150 900.2981 1155.2723 1.4146 0.2065 151.0141 0.9914
1.7554 1.5591 0.0203 0.4337 0.0409 -0.0484 3.3144 1.4397 0.8882 0.0037 217.1727 23.6395 1.1047 -1.2529 148.0191 0.8522
1.7061 1.6177 0.0149 -0.2567 0.0133 0.9601 3.3238 1.4461 0.9482 0.0043 36.1915 455.1151 1.5130 0.1061 126.8976 -0.6957
1.8381 1.4736 0.0492 0.2818 0.0131 0.4951 3.3117 1.4310 0.8017 0.0106 320.2167 82.1991 1.0427 -0.5307 177.2086 0.6346
1.7167 1.5813 0.0056 0.3197 0.0425 0.8171 3.2980 1.4341 0.9211 0.0176 298.6420 126.5025 4.3134 0.2908 168.1047 0.7318
1.6851 1.6404 0.0470 0.7883 0.0186 -0.5676 3.3255 1.4474 0.9735 0.0136 651.3949 2603.7300 4.0554 0.5754 123.1466 0.5300
1.7258 1.5585 0.0311 0.2933 0.0442 -0.3006 3.2843 1.4274 0.9031 -0.0015 281.6866 113.5596 4.5985 0.0331 188.9094 -0.9576
1.7676 1.5461 0.0431 0.3881 0.0147 0.5449 3.3138 1.4385 0.8747 0.0127 882.7385 1216.3132 3.6320 0.5782 152.5081 0.8534
1.6996 1.5625 0.0156 -0.6922 0.0478 0.9667 3.2621 1.4184 0.9193 0.0165 1547.7094 687.9732 0.7621 -0.3845 221.6923 -0.9973
1.6791 1.6491 0.0099 -0.5289 0.0216 0.9032 3.3282 1.4486 0.9822 0.0070 587.3022 38.6464 1.5030 -0.0835 118.9984 -0.5352
1.7593 1.5478 0.0014 -0.8275 0.0331 0.8392 3.3071 1.4359 0.8798 0.0124 837.0185 350.7709 1.1171 -0.5373 160.5789 0.6309
1.7613 1.5769 0.0210 0.7635 0.0301 -0.1796 3.3382 1.4504 0.8953 0.0059 446.1689 40.6786 4.4171 0.2583 112.8431 0.2127
1.6474 1.6442 0.0106 0.7706 0.0167 0.6762 3.2916 1.4328 0.9981 0.0097 433.4540 228.9838 0.7970 -0.3003 171.8776 -0.8809
1.7383 1.5406 0.0198 0.5239 0.0047 0.0135 3.2789 1.4241 0.8862 0.0055 545.3721 1729.1602 4.4669 0.1514 200.3760 0.9118
1.7762 1.5184 0.0016 0.2611 0.0337 0.6782 3.2946 1.4288 0.8549 0.0108 227.2425 148.8401 1.3994 -0.3980 184.9499 -0.9749
1.7880 1.5292 0.0370 0.8872 0.0133 0.8318 3.3172 1.4386 0.8552 0.0228 138.5871 808.8792 4.3834 0.0643 152.9545 0.6065
1.6608 1.6096 0.0225 -0.3615 0.0364 0.8980 3.2704 1.4233 0.9691 0.0119 103.9032 441.9648 4.4849 -0.0729 204.8465 0.8936
1.9016 1.4720 0.0433 0.4610 0.0487 0.8369 3.3736 1.4541 0.7741 0.0290 1237.2908 523.2107 4.4692 0.1469 102.1168 0.3257
1.8285 1.4807 0.0420 0.8260 0.0161 0.1904 3.3092 1.4308 0.8098 0.0205 29.1344 896.6394 0.3622 -0.6264 178.9124 -0.9559
1.7248 1.5946 0.0062 0.4348 0.0334 -0.3213 3.3193 1.4435 0.9245 -0.0038 61.0020 157.1618 4.6398 -0.1082 134.6308 -0.7882
1.7949 1.5306 0.0030 -0.5832 0.0427 0.3025 3.3255 1.4420 0.8527 0.0050 177.2216 338.8079 1.5560 -0.3612 139.8606 -0.6662
1.7791 1.5206 0.0296 0.2380 0.0331 0.3217 3.2996 1.4309 0.8547 0.0087 366.5077 571.0138 3.8518 0.7449 177.2862 -0.8819
1.7088 1.6487 0.0326 0.6009 0.0087 0.5752 3.3575 1.4611 0.9649 0.0124 321.6265 785.9867 4.9640 0.1534 78.3407 0.2690
1.8025 1.5219 0.0182 0.4468 0.0276 0.8506 3.3244 1.4408 0.8443 0.0152 528.0873 16.6605 0.9348 -0.1829 144.8730 -0.5810
1.8211 1.5185 0.0009 -0.5562 0.0379 0.8813 3.3397 1.4465 0.8338 0.0149 20.8561 612.5643 3.5732 1.1004 125.8803 0.8114
1.8805 1.4590 0.0497 0.8954 0.0496 -0.0870 3.3395 1.4397 0.7758 0.0232 668.8355 2426.2358 1.2087 -0.4723 148.6887 0.6199
1.8062 1.4930 0.0458 0.7219 0.0003 -0.7089 3.2992 1.4283 0.8266 0.0180 535.2607 97.0950 0.6960 -0.6494 187.4816 0.9678
1.7328 1.5271 0.0462 0.8774 0.0106 -0.8951 3.2599 1.4156 0.8813 0.0171 605.1082 2630.4141 4.3900 0.4934 231.3343 -0.9973
1.9213 1.4131 0.0499 0.8778 0.0123 0.0382 3.3344 1.4310 0.7355 0.0254 194.4898 1165.2893 0.4348 -0.9298 177.6267 0.8933
1.6953 1.6112 0.0347 0.5111 0.0089 -0.8047 3.3065 1.4387 0.9504 0.0056 466.0849 80.8889 0.7915 -0.9392 151.4943 -0.8083
1.6999 1.5758 0.0291 -0.1255 0.0023 0.5692 3.2758 1.4246 0.9270 -0.0013 359.5698 306.3031 3.9894 0.5938 198.5124 0.9361
1.7781 1.5041 0.0350 0.2415 0.0381 0.6532 3.2822 1.4227 0.8459 0.0160 273.3890 115.9932 0.7690 -0.7930 206.4704 -0.8531
1.7005 1.5838 0.0240 -0.1101 0.0381 0.8554 3.2843 1.4285 0.9314 0.0143 260.4894 194.9213 4.1378 0.4443 187.1407 0.7080
1.7512 1.4956 0.0434 0.4000 0.0409 -0.3868 3.2468 1.4080 0.8540 0.0021 185.1287 214.1284 4.5380 0.5337 256.9733 -0.9150
1.6955 1.5607 0.0336 0.6942 0.0138 -0.8483 3.2562 1.4159 0.9205 0.0065 474.4951 291.9509 1.5220 -0.3033 229.6611 0.9632
1.6555 1.6255 0.0342 -0.2169 0.0243 0.4873 3.2810 1.4281 0.9819 0.0021 78.4382 247.0133 4.1623 0.4923 187.0222 0.8832
1.6514 1.6275 0.0459 0.7067 0.0108 -0.3090 3.2789 1.4272 0.9856 0.0147 250.9112 557.6647 3.5821 0.5945 191.3467 -0.9055
1.7899 1.5391 0.0422 0.9235 0.0126 0.0795 3.3290 1.4441 0.8599 0.0214 1080.7456 1751.4682 4.4117 -0.2842 134.4147 0.9258
1.8027 1.5285 0.0089 -0.9893 0.0268 0.7902 3.3312 1.4441 0.8479 0.0050 187.3101 2245.1712 4.8570 0.4206 132.9487 0.6694
1.6465 1.6265 0.0299 -0.5365 0.0402 0.1409 3.2730 1.4246 0.9878 -0.0052 292.5210 98.7717 4.5952 0.0322 198.3460 -0.9586
1.7663 1.5164 0.0257 0.9392 0.0075 0.5857 3.2827 1.4239 0.8585 0.0150 620.5061 281.4077 4.1937 0.4569 202.3072 0.8724
1.9920 1.3884 0.0462 0.2141 0.0370 0.9524 3.3804 1.4431 0.6970 0.0203 75.6126 241.4689 0.6033 -0.2710 136.7699 0.5788
1.7960 1.4885 0.0492 0.7938 0.0188 0.7690 3.2845 1.4221 0.8288 0.0279 643.6369 11.3106 4.2854 0.2824 209.5610 0.9285
1.7102 1.5671 0.0054 0.9936 0.0167 -0.2531 3.2772 1.4249 0.9163 0.0008 130.8118 364.7989 1.3732 -0.2773 198.0408 0.9111
1.6764 1.6679 0.0278 0.8423 0.0421 0.5286 3.3443 1.4557 0.9950 0.0229 335.6343 1792.1349 3.8396 0.5809 97.0477 0.4717
1.8023 1.5265 0.0129 0.7192 0.0265 0.8390 3.3288 1.4430 0.8470 0.0152 162.9395 866.8973 0.5841 -0.3957 137.5429 -0.4118
1.7320 1.5978 0.0474 0.8648 0.0157 0.6363 3.3298 1.4480 0.9225 0.0261 121.3399 828.5115 4.3769 0.2463 122.2079 0.4858
1.7472 1.5120 0.0059 0.4182 0.0431 -0.1829 3.2592 1.4142 0.8654 -0.0023 484.5569 446.0625 1.0824 -0.4616 234.9990 0.9938
1.6536 1.5940 0.0442 0.3730 0.0052 -0.8789 3.2476 1.4133 0.9640 0.0062 740.8968 344.3536 1.0331 -0.7774 238.5930 -0.9103
1.6751 1.6550 0.0245 0.8024 0.0382 0.1806 3.3301 1.4495 0.9880 0.0133 1395.5665 86.0275 0.9977 -0.6103 116.8895 0.5490
1.7793 1.5057 0.0329 0.1360 0.0306 -0.1127 3.2850 1.4239 0.8462 0.0008 316.5184 431.8018 4.8520 0.5621 200.6917 0.8779
1.6672 1.5822 0.0135 0.7380 0.0005 -0.7541 3.2495 1.4138 0.9490 0.0049 1953.5929 918.9917 4.4443 0.5859 236.9840 -0.9790
2.0178 1.3368 0.0462 0.9241 0.0428 0.7903 3.3546 1.4238 0.6625 0.0392 269.9255 2544.6589 0.4696 -0.7156 203.3938 0.9465
1.7176 1.6267 0.0488 0.9265 0.0263 -0.4836 3.3443 1.4550 0.9471 0.0170 701.6978 188.7815 0.7855 -0.1633 98.9690 -0.0111
1.6770 1.5938 0.0442 0.3926 0.0324 0.5386 3.2708 1.4232 0.9504 0.0174 688.6413 113.5213 1.0003 -0.8974 205.4149 -0.9708
1.8267 1.4908 0.0409 0.5988 0.0469 0.4062 3.3174 1.4351 0.8161 0.0221 537.8945 288.2085 3.6162 0.8585 164.2447 -0.8865
1.6586 1.5919 0.0417 0.9071 0.0079 -0.7845 3.2505 1.4145 0.9598 0.0163 174.1906 690.2067 1.0023 -0.2681 235.4763 -0.9521
1.8975 1.4578 0.0204 0.6574 0.0385 0.5635 3.3553 1.4454 0.7682 0.0170 195.9828 269.6880 0.2918 -0.5053 129.4427 0.6388
1.7286 1.5961 0.0404 -0.1691 0.0430 0.9777 3.3247 1.4458 0.9233 0.0166 65.6756 785.6758 0.5956 -0.2423 128.9374 -0.6526
1.7295 1.5614 0.0008 -0.3460 0.0232 0.2408 3.2910 1.4302 0.9028 0.0025 297.4384 150.8728 0.8489 -0.1186 179.8605 0.9815
1.7421 1.5676 0.0379 0.7918 0.0349 0.9073 3.3097 1.4382 0.8998 0.0308 1609.0394 1791.2446 4.3615 0.3305 154.0888 0.5755
1.8239 1.5374 0.0199 0.6948 0.0224 0.7305 3.3613 1.4567 0.8429 0.0150 274.6186 725.1608 0.2138 -1.0374 93.2952 -0.1674
1.9271 1.4234 0.0174 0.3740 0.0325 0.3204 3.3505 1.4385 0.7386 0.0082 418.8952 118.8951 0.9262 -0.5796 151.3804 0.7179
1.7421 1.5432 0.0339 -0.0194 0.0183 0.5330 3.2853 1.4269 0.8859 0.0042 725.9417 958.1576 3.7423 0.6410 191.2475 0.8969
1.7093 1.6114 0.0248 0.6106 0.0473 0.2669 3.3207 1.4447 0.9427 0.0139 622.3148 69.4155 3.3373 0.5095 132.2733 -0.9672
1.6912 1.6151 0.0105 -0.8414 0.0368 0.6871 3.3064 1.4387 0.9550 0.0078 369.1221 165.1157 1.5647 -0.4172 151.2466 -0.6719
1.7400 1.5671 0.0458 0.8623 0.0119 -0.3187 3.3071 1.4372 0.9006 0.0190 1124.6198 1731.8737 4.4402 -0.0178 157.5597 0.7266
1.8271 1.5115 0.0370 0.9537 0.0348 -0.2337 3.3386 1.4454 0.8273 0.0156 298.5178 544.6317 1.1108 0.2557 129.8772 -0.6331
1.7262 1.5872 0.0043 -0.9625 0.0371 0.0928 3.3134 1.4407 0.9195 -0.0005 82.0738 387.2198 0.8057 -0.6754 144.1433 0.5733
1.6484 1.6359 0.0037 -0.8865 0.0039 0.2428 3.2843 1.4295 0.9924 -0.0012 46.6751 834.1351 0.6672 -0.9692 181.5775 -0.8617
1.9137 1.4547 0.0484 0.9466 0.0227 0.4263 3.3685 1.4498 0.7602 0.0302 560.9655 115.8170 4.1252 0.4902 115.8972 0.5706
1.7225 1.5869 0.0465 -0.1270 0.0242 0.6260 3.3093 1.4390 0.9213 0.0042 16.7453 1162.9832 1.4028 -0.2332 150.1113 0.6786
1.7794 1.5308 0.0177 0.5202 0.0290 -0.6461 3.3102 1.4359 0.8603 -0.0037 99.4023 161.5703 4.6088 0.1018 159.4814 -0.8129
1.8800 1.4902 0.0156 0.2190 0.0271 0.8721 3.3702 1.4552 0.7927 0.0124 801.6124 461.5013 0.4815 -1.2761 97.3437 0.5462
1.7180 1.5899 0.0012 -0.1847 0.0295 0.7161 3.3079 1.4386 0.9255 0.0100 781.5050 401.2023 3.8513 0.9861 151.6962 0.8870
1.9770 1.3869 0.0419 0.8276 0.0460 0.7115 3.3639 1.4370 0.7015 0.0339 206.1088 495.6098 1.4226 -0.2733 158.1426 -0.7020
1.8417 1.4768 0.0418 0.6037 0.0187 0.6348 3.3185 1.4339 0.8019 0.0193 148.5449 918.5396 0.7838 -0.2392 167.9326 -0.7253
1.6775 1.6620 0.0016 0.9341 0.0170 0.5023 3.3394 1.4536 0.9907 0.0050 396.2949 340.6664 1.0126 0.1566 102.7694 -0.3098
1.6995 1.6032 0.0172 -0.1472 0.0054 0.1655 3.3027 1.4369 0.9433 -0.0009 185.1139 59.9255 3.6647 0.9772 157.1220 0.7971
1.6943 1.6425 0.0199 0.9398 0.0105 0.6858 3.3368 1.4522 0.9694 0.0131 765.0973 200.6974 0.0675 -0.5855 107.7178 -0.6543
1.8817 1.4280 0.0156 -0.3997 0.0458 0.5572 3.3097 1.4243 0.7589 0.0075 219.2368 371.1898 1.3256 -0.2729 199.3918 0.9562
1.7359 1.6001 0.0166 0.9067 0.0119 0.3823 3.3360 1.4506 0.9218 0.0100 863.9537 1828.2425 4.5233 0.1361 112.4970 -0.5191
1.7072 1.5989 0.0247 -0.1549 0.0019 0.4742 3.3061 1.4381 0.9366 -0.0015 455.8495 453.4955 4.4212 -0.2871 152.5873 0.7731
1.6705 1.6295 0.0199 0.5849 0.0200 0.8226 3.3000 1.4363 0.9754 0.0140 66.8450 969.7293 3.3206 0.9170 160.2442 0.8596
1.6600 1.6387 0.0106 0.4998 0.0470 0.2018 3.2987 1.4358 0.9872 0.0074 218.0094 7.0348 4.4573 -0.1511 161.6356 0.8380
1.7924 1.5865 0.0225 0.3543 0.0483 0.9329 3.3788 1.4674 0.8851 0.0254 697.0255 194.8496 1.5466 0.3658 60.4432 0.0836
1.6742 1.6379 0.0151 0.7614 0.0380 0.0659 3.3121 1.4415 0.9783 0.0070 28.6796 597.8962 4.4399 -0.2573 142.1321 0.7798
1.6579 1.5694 0.0277 0.5775 0.0441 -0.1508 3.2273 1.4041 0.9466 0.0050 467.8067 10.6867 4.2129 0.4283 271.9876 0.9825
1.6970 1.6703 0.0373 0.7861 0.0064 -0.7764 3.3673 1.4657 0.9843 0.0123 1131.2652 525.1309 1.0079 0.5154 65.1604 -0.4279
1.7192 1.5885 0.0321 0.6794 0.0137 0.7181 3.3077 1.4384 0.9240 0.0161 229.3530 321.6417 1.3152 -0.0551 153.3168 0.7583
1.6975 1.6420 0.0309 0.2611 0.0443 0.3216 3.3395 1.4534 0.9673 0.0111 999.3569 1125.6160 4.4471 -0.1699 103.4063 0.4615
1.8003 1.5327 0.0288 -0.0068 0.0309 0.6001 3.3330 1.4452 0.8514 0.0084 165.9205 3418.3993 1.2688 -1.0460 129.6289 -0.4067
1.8659 1.4569 0.0480 0.8841 0.0397 0.9779 3.3227 1.4331 0.7808 0.0409 24.1728 6125.8931 1.3951 -1.1931 171.5409 0.9079
1.8743 1.4883 0.0351 0.8307 0.0477 0.0008 3.3625 1.4520 0.7940 0.0163 968.1106 1665.3794 4.9739 0.2116 107.1638 0.4006
1.7076 1.6002 0.0467 0.0391 0.0136 0.3330 3.3078 1.4389 0.9371 0.0031 914.4210 1055.5154 0.1803 -0.8237 149.8718 -0.8414
1.6799 1.6386 0.0118 0.8963 0.0484 0.8598 3.3185 1.4443 0.9754 0.0259 1849.5936 470.4161 1.4467 -0.5086 134.1819 -0.3251
1.7275 1.5623 0.0087 -0.3082 0.0087 0.0806 3.2898 1.4298 0.9044 -0.0011 1416.9244 684.5440 4.3157 0.9867 180.7759 0.8361
1.8530 1.5123 0.0439 0.8300 0.0002 -0.6890 3.3653 1.4558 0.8161 0.0200 224.0118 92.8651 3.8835 0.8654 96.4033 -0.4002
1.7447 1.5555 0.0060 0.2916 0.0363 0.8957 3.3002 1.4336 0.8916 0.0162 39.2847 708.9740 0.4861 -1.0430 169.1167 -0.9915
1.6818 1.5730 0.0158 0.4682 0.0456 0.1415 3.2548 1.4158 0.9353 0.0069 266.6061 67.1140 4.4052 0.2561 230.4818 0.9609
1.7017 1.6132 0.0400 -0.5293 0.0469 0.4636 3.3149 1.4423 0.9480 -0.0003 176.1617 370.1819 5.9514 -1.1104 139.1048 -0.9840
1.6635 1.6571 0.0119 0.4766 0.0149 -0.0822 3.3206 1.4454 0.9962 0.0022 301.5394 72.0669 0.4066 -1.3083 128.8201 0.8155
1.8415 1.4348 0.0404 0.4896 0.0113 0.7546 3.2763 1.4129 0.7792 0.0149 125.3176 189.0258 1.2028 -0.5200 240.7384 0.9334
1.8620 1.4871 0.0355 0.3783 0.0088 0.9379 3.3490 1.4468 0.7987 0.0111 99.9530 40.3999 4.6195 0.8784 125.2669 0.0078
1.9119 1.4649 0.0472 0.5104 0.0486 0.7555 3.3768 1.4543 0.7662 0.0296 10.5450 1171.5044 5.0274 -0.2399 101.3731 -0.8067
1.6614 1.5646 0.0402 0.3643 0.0236 0.5440 3.2260 1.4034 0.9417 0.0138 857.9118 1935.7300 1.3702 -0.5344 274.5664 -0.9358
